sample,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site,C3-C21-C3fc-C3an-C65b-C3b-C3bb,C3-C21-C3an-C3fc-C3gz-C3b-C3bb,C3-C3de-C21-C3bb-C3an-C21ae-C65b-C3s,C3-C3fc-C21-C3b-C3an-C3fd-C3bb,C3-C3de-C3bb-C21ae-C21-C3an-C3s,C3-C3an-C3de-C21-C3bb-C3fc-C3b,C3-C21-C3gu-C3gy-C3gw-C3gx-C3gv-C3b,C3an/C3-C21-C3bb,C3-C3fc-C40g-C3b-C3an-C21-C3fd-C3s-C3bb,C3/C3b,G3b,G3am
MX116,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,0,0,17905,0,0,0,0,0,0,0,0,0
MX117,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,0,0,11711,0,0,0,0,0,0,0,0,0
MX118,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,23244,0,0,0,0,0,0,0,0,0,0,0
MX119,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,0,0,25867,0,0,0,0,0,0,0,0,0
MX120,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,0,0,13404,0,0,0,0,0,0,0,0,0
MX121,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,0,0,6982,0,0,0,0,0,0,0,0,0
MX122,23.28367,-88.71162,21.07.19,27.62762763,Shallow,25,Bajos del Norte,0,0,0,0,0,0,0,0,36833,0,0,0
MX123,23.28367,-88.71162,21.07.19,27.32732733,Shallow,25,Bajos del Norte,18866,0,0,0,0,0,0,0,0,0,0,0
MX124,23.28367,-88.71162,21.07.19,27.32732733,Shallow,25,Bajos del Norte,15831,0,0,0,0,0,0,0,0,0,0,0
MX125,23.28367,-88.71162,21.07.19,27.02702703,Shallow,25,Bajos del Norte,13277,0,0,0,0,0,0,0,0,0,0,0
MX126,23.28367,-88.71162,21.07.19,27.32732733,Shallow,25,Bajos del Norte,0,0,0,0,0,0,0,15252,0,0,0,0
